PATIENT_ID	ESR1	PGR	ERBB2	MKI67	TP53	BRCA1	BRCA2	PIK3CA	PTEN	AKT1
MB-0025	2.8314512	1.2718892	-1.6342801	-1.2944021	1.1405289	1.2996675	-0.65495396	-0.7020638	-1.0293498	0.2836971
MB-0026	1.9574605	1.1937482	-1.5704206	0.026753603	-1.0010861	-0.5435627	-0.8757653	-0.16888176	0.847926	-5.8530855
MB-0027	2.9313574	0.2423215	-0.44603804		1.4549345		-2.227759	1.3981146	-0.84876436	0.07506856
MB-0028	-1.8470037	-0.80746573	-1.3802142	0.70152134	-0.7554354	-0.5484243	-0.5457021	-0.5448727	-1.4520532	0.5762528
MB-0029	0.97809935	-1.5345302	-1.4796822	1.0261354	-0.74533635	-0.30022326	-1.1418108	0.47254923		0.2977317
MB-0030	4.313717	-1.5627542	-0.53888214	-0.33526483	-15.432083	-0.40601474		0.4138404	-0.22806735	1.3348703
MB-0031	-2.5047336	-0.15133655	-0.1288211	0.1834064	0.26546228	-0.51375115			0.2740746	0.39159426
MB-0032	-4.2089367	-0.100582086	3.4533653	-0.74809206	0.39608064	-0.8507441	0.3928361	6.1382055	1.879308	-1.1566414
MB-0033	2.440644	-0.54764146		-1.5757017	-0.015236512		2.0520096	0.86762047	-0.9269953	-0.7885341
MB-0034	-1.5268817		-1.3155854	-0.29257742	-0.20053746	0.85442024	1.2279569	0.027429406	-1.6519421	-1.2869403
MB-0035	-3.0172603	-0.2943085	0.68033123	0.3530989	-0.035620198	-1.4449675	-0.76801336	1.4872468	-0.40576503	0.9242641
MB-0036	-2.0375423	-0.7138492	-0.78733695	0.67777455	1.4130794	1.4460217	-2.3277776	1.0400099		0.3983092
MB-0037	2.4062176	-1.5283074	0.3206737	4.218166	0.5207148	0.47371802	-0.8812196	-0.97928965	0.014647108	0.84366345
MB-0038		1.3309499	-0.8275833	0.053037062	0.909266	-0.08261023	-0.55051017	-0.15233885	1.6902214	-0.2398554
MB-0039	3.6887338	1.0034212	-1.8079274		0.09934305	-0.30917603	0.68859845	0.8409284	-0.72710395	0.6859267
MB-0040	-0.7733692	-1.2095327	-2.2203383	0.46788034	0.7809765	0.62784666	0.9948519	2.2858574	-0.98234314	-1.0249318
MB-0041	-1.1931531	-0.22302532	3.2671435	0.2480907	-0.04558447	-0.31170398	1.2769729	0.2452426	-1.0808322	0.6800769
MB-0042			-0.18370971	-0.82563347		1.2436969	-0.52568865	-0.6386922	0.7550463	-1.3618551
MB-0043	2.2370045	0.8334822	-0.33607545	0.735148	-0.2959465	-1.4767438	2.5489063	0.9978191	-0.46349484	-1.367285
MB-0044	2.614054	-1.5200397	-0.58479375	0.5431373	-0.5301656	0.22331877	0.0796143	-1.1469294	0.18339029	-0.9616998
MB-0045	3.2982807	-0.66138643	-0.34909502	-1.7800593	-1.8738022	0.8201275	-0.0042047217	-1.997851	0.39652735	0.70696604
MB-0046	-2.3797276	0.09535479	0.04779774	0.46937227	0.84537524	-0.19762051	0.1294435	-0.13400637		1.197524
MB-0047	1.4291235	0.5513401	-0.5136527	1.1323103	1.3344085	0.017995406	-1.5063571	-0.14789934	-0.35244888	0.112125926
MB-0048	0.41138196	0.012766875	-1.5551242	-0.7466004		-0.93031096	-0.6044017	0.0889295	-0.22961356	
MB-0049	-0.098823786	0.68254066	0.2151931	-2.5013607	0.7616639	-1.3110594	1.8489791	0.4559367	0.27730823	11.465206
MB-0050	0.9236343	-0.44681135	-2.4439244	0.16543083	-0.84888625	2.459366	-0.7226504	0.7915067	0.89585876	-0.43751064
MB-0051	0.073340654	-0.05176476	-1.4548147	-0.39503664	-0.05204242	-1.8028545		-1.7526339	15.717401	-0.7748635
MB-0052	2.45679	-0.82184017	0.7642571	0.37521878	0.03852096	-0.49272245		-0.18192816	-1.1194721	-0.21799582
MB-0053	2.2879694	0.30724722	-2.2985263	1.8000115	1.3603923	0.081710406	0.8976384	1.0253361	-0.013898298	-0.45591193
MB-0054	1.2833904		1.5058053	-0.4647198	-1.2325457	1.1481544	0.16697499		-0.42543545	
MB-0055	1.7738287	-0.08571193	0.33119655	-3.1444294	-0.3137577	-0.6016773	-0.15336065	-1.7046698	-0.50434375	0.35386652
MB-0056	2.3216817	1.1446652	-2.0164008	0.49382627	-0.5530249	0.69380456	-1.0590214	-1.5563378	-2.3496883	-0.7532179
MB-0057		0.11207209	-1.8937778		-1.0795002	1.4483286		1.7753333	-0.48035523	0.35418683
MB-0058	2.5127344		-23.847385	-0.3933594	1.1938709	0.3404146	0.73484653	0.43700176	1.6070637	0.50536144
MB-0059	2.2153096	1.7389395	-0.101380676	-1.2294538	0.064890414	1.0760075	-0.74732095	-0.19799642	-0.4813489	-1.2774458
MB-0060	2.831157	-1.0501177	-1.9440125		0.75499177	-0.0038752165	1.0531974		-0.4216341	
MB-0061	3.6233716	1.6063238	-1.5318668	2.243607	1.3849338	1.417639	0.5040453	0.7726395	-0.07623264	-0.20911294
MB-0062	-1.1025116	0.17623378	1.6593335	-0.180817		-1.1383622	-1.1813542	0.06535142	-1.8775734	-1.1005499
MB-0063	0.753803	-0.25791803	-0.6731531	0.7830713	1.0548259	-0.4723033	0.8219284	-0.7679185	1.9110765	-0.69780874
MB-0064	1.1971601	1.2085488	0.07351625	-0.18529639	2.3877475	-0.15104105	-0.842493	1.2151849	0.3673712	0.048894115
MB-0065	-1.3844365	-1.0990384	1.2309519	-0.96508086	-1.2694815	0.37435195	0.45011336	1.209023	-0.762578	-0.3213802
MB-0066	-0.874353	0.89045215	2.45602		-0.16233964	0.30959955	-0.6167965	-2.4939713	1.158095	0.99959266
MB-0067	1.2099484	-1.121693	-0.28081703	-0.98689044	-1.1475848	-0.8756287	-1.6833435	0.0070333546	-0.16538362	0.16098787
MB-0068	2.1099985	0.6821989	-0.47503015	-0.4358097	0.27787	0.049872134	1.0003442	-0.5002872	5.829091	1.4359666
MB-0069	1.7473347	1.6895512	-0.48342133	-0.57684714	-0.5950366	-0.5736401		0.3487146	1.7911434	-0.25987548
MB-0070	3.795243	-0.14386445	0.32023692	0.6122291	1.3415457		-0.046378877	-1.485373	-1.3691839	
MB-0071	1.2446494	-1.1723701	-0.24859712	-0.33455524	-0.7284472	-0.30791596	0.7820207	-1.6268494	0.10793911	2.1371102
MB-0072	0.8065158	-2.198517	-1.1632707	-0.4244896	0.58261347	0.78067034	0.6826506	0.2784636	0.0050532883	-0.23632327
MB-0073	-1.6923513	0.06311892	-0.529348		0.9567883	-1.943053	-0.906028	0.53906655	-0.9163085	
MB-0074	-1.1348891	0.12800741	0.771616	2.141881	1.0006342	1.066235	-0.5029673	1.8586347	-1.2231249	0.15755382
MB-0075	2.0789452	0.035079643	0.54136086	-1.914399	-0.63776845	-1.239112	-1.9607893	-0.7093512	1.7683624	0.5640152
MB-0076	-1.1574525		-0.8551949	-0.28856525	-0.2568204	0.14426951	-0.6937442	-0.42163712	-1.258137	-0.4795251
MB-0077	1.6941497	-0.8426878	-0.59325856	4.4723063	0.006190464	-0.08423123	0.9891983	-2.008896	1.0467123	0.26349458
MB-0078	3.1726394	-0.59209263		0.10569547	-0.28493044	0.91058695	-1.5305955	2.1121657	-0.66477406	
MB-0079	4.3913674	-0.4516589	-1.306298	-1.0617238	0.35634375	1.7397707	-1.4305656	-0.117781006	0.4440972	
MB-0080	4.0293794	0.90890324	-0.7155544	0.12076563	0.199245	1.0008379	-0.15560453	0.6654577	0.08110429	
MB-0081	2.9386287	0.33087325		0.81033576	0.07531307	0.3831598	1.4247425		-1.0841014	-1.2896751
MB-0082	3.0708265	1.113716		1.1081548	-0.43772247	-0.35105306	-1.3398234	-1.148894	0.19747579	-0.2462603
MB-0083		1.0572965	-0.53012735	-0.47761407	1.4848045	-1.4243563	0.32872015	-0.22463247	-0.33285224	0.94746965
MB-0084	4.250984	0.74209505	-1.008594	-1.2956098	1.3512763		-0.4977052	0.11786918		1.7914741
MB-0085	3.1665044	-1.35994	-0.35060078	-1.2248112		3.877628	0.18845208	0.92982423	0.65654576	-1.0697676
MB-0086		0.53965193	0.18678755	0.33277586	0.453779	0.6771836	0.40905988	1.4713875	0.61882555	0.8062435
MB-0087	-0.09067035	-1.0392522	0.5476631		-0.6225725	0.48171243	-0.1777452	-0.8855083	0.78375185	1.4751858
MB-0088	2.6393065		-0.58440137	-1.3332944	1.6426709	5.6385946	-1.0195943	2.7765687	-0.58230925	-0.30069345
MB-0089	-0.7380773	1.152464	3.498619	-0.91546863		-1.5230623	0.25954378	0.58307785		1.0901991
MB-0090	1.1061633	-0.19687627	-0.8489988	0.2610953	0.18610337	-1.8284155	1.717431	1.5009366	-0.5768325	-0.74762857
MB-0091	2.8462667	0.9929289		-0.018243443	0.618235	0.18683165	0.90943044	0.8199778	0.2246722	-0.91813415
MB-0092		-0.5895914	-1.421103	-0.4359665	3.1129947	0.40055528	0.5144119	-0.44975585	-0.14424917	-2.2846951
MB-0093		-0.15994784	-0.41117766	2.0094879	-0.31045184	-0.05081826	-1.8779502	0.25919965		-0.5384362
MB-0094	3.7219937	1.059456	-1.4657758	0.033555824	-0.58564395	0.1258244	-0.4636296	-1.1954105	0.34538242	0.96249974
MB-0095	-2.8441167	-0.3795108	3.280167	-0.3911092	0.5056361	1.8553994	1.8355476	-1.2094692		1.4664567
MB-0096	-1.7826198	0.83403933	-1.6765589	-0.7653293	-0.74203956	0.2687744		1.2668658	0.12917475	0.22017439
MB-0097		-0.28246793		-1.1275629	-1.279065	-2.1373801	0.9145505	0.11247198	-0.6171986	-0.319401
MB-0098	3.9668736	-0.14923751	-2.7999978	0.27109823		1.1826147	-1.2489533	-0.7157332	1.9362453	-0.22504187
MB-0099	-1.2984929		2.6755528	1.5301424	0.3103769	1.8418318	0.030430466	-0.020230457	-0.7443826	-0.28966725
MB-0100		-0.44150585	-1.8366222		0.5175004	-0.098316036	0.03765333	-1.2773248		
MB-0101	-0.5447458	-1.1473598	0.2518425	-0.40428874	1.8551698	-1.4367019		-0.7602307	1.1366606	-0.42099538
MB-0102	0.07772279	0.40345567	3.0691679			1.6743158	-0.052951694	0.7826657	0.8960189	0.8770156
MB-0103	1.3128221	1.3830655	0.31510276	-0.9491894	-0.23028742	-1.334458	0.62446046	2.5566347	-1.1220716	
MB-0104	-1.3145373		4.851692	1.0860438	0.3796262	0.6931082	-0.6034745	0.85084844	-0.15577774	-1.154266
MB-0105	-0.4608928		1.6208055	1.0393925	-0.6601769	1.6613574	0.9703064	-0.4139515	0.40313515	1.4345657
MB-0106	2.19623	-0.37417147		0.5070647	0.7570168	-1.2071681	-2.0885952	-0.43956065	-0.39153224	-1.6954042
MB-0107	1.5812366			0.32293314	0.23629938	-0.9577996	-1.1286604	-1.7708464	-1.0988377	-0.57762074
MB-0108	-1.759509		0.7625123	1.2948887	-0.30805784	-0.75734633	-0.6506934	-0.17330562	0.36367354	
MB-0109	1.6173239	0.54846287	-0.021302462	-0.2787871		-1.0551972	-1.0147291	-1.7817329		-0.022288222
MB-0110		-0.47231546		0.4917261	0.30583718	2.1288385	0.60212857	1.8387556	1.2995112	-1.756126
MB-0111	2.1336603	-0.35117355	-0.30190682	-1.5959071	-0.5911098	0.28325084	1.1511954	-0.6637123	1.4086134	-0.2048025
MB-0112	-1.7886305	-0.30720758	-2.6124494	-0.0133147	0.15916766	1.2829154	0.6654771	-2.0582387	0.11711629	-1.179655
MB-0113	-1.7352563	-0.8830028	0.87347555	-0.3259975	0.95326334	1.0280629	0.56271124	-0.27572352	-0.26130408	1.7232239
MB-0114	2.604635	-0.707595	-1.1711714	0.7633229	1.4964811	-0.07750415	1.5456107	0.30759165	1.5345342	-1.4936972
MB-0115		-1.154457	-1.2706196	0.14859357	-2.2933457	-1.5344789	-0.73343366	0.17756237		-0.9380167
MB-0116	4.139784	-0.9409522		-0.96182066	0.6520507	-1.1554855	-0.4163781		1.5408376	-1.4063698
MB-0117		-2.4074147	4.0700035	-0.22824372	0.6667669	0.9086562	-1.1807926	-1.5918876	1.9111055	-1.5503092
MB-0118	2.893042	-0.76674443	-1.2739546	-0.20512676	0.35869837	-0.4701023	0.5321791	-0.53794354	-0.3013522	2.0835633
MB-0119	-0.8479574	-0.20483749	0.47480178	-0.8973772	-0.5028035	1.2838825	0.1937723	-0.24093147	-0.7536753	1.1690161
MB-0120	-2.7884793	1.0811664	-0.9164573	-1.1369133	0.31575847	-3.964888	2.0777953	0.70185906		
MB-0121	-0.88234526	0.26858354	1.2298993	-0.46013123	-0.4199569	-0.21125032		-0.30778155	1.423738	-0.57730967
MB-0122	2.817654	-0.6516767	-1.3633972	-0.22315507		0.6951797	0.40397188		-0.09141786	-1.0615742
MB-0123	2.780954	0.70055753	0.54982793	0.03911953	-0.42950332	0.4733808	0.8073803		0.11848578	0.9933687
MB-0124	0.7465894	-0.30672252	-1.7063795	0.8561292	2.0047684	-1.4773211	0.4275361	-0.84201866		-0.6874527
MB-0125	1.6891004	-0.30929193	-1.5613265	0.114949755			0.93949634	-0.37448004	-0.37077516	-0.75026816
MB-0126	3.2359056	-0.98372805	0.1716193	-0.5110492	0.71717674	0.8987619	1.6561837	-2.4796715	-0.28042018	0.34972602
MB-0127	3.8899817	0.7529369	1.4957346	0.066409394	0.0034308736	0.455864	0.8414109			0.8024096
MB-0128	2.4013283	1.9206098		1.2866874	-1.6302392	1.7987983	-1.0600389	-0.010811613	-0.17611553	0.119881175
MB-0129	3.3098917	-1.1243597	-0.9738028	-0.676725	-0.55975	0.778621	0.01565094	0.7004638	0.96362317	1.282032
MB-0130	2.180718	0.18029906		-1.2539506	-1.1718904	1.8552657	1.1738554	-1.4945173	0.0015538804	-1.7493235
MB-0131	4.8168373	-0.37714314	-2.7159545	-0.7216863	1.363631		1.2804064		-0.4895091	0.6895138
MB-0132		0.39252335	-0.25160968	-0.5074428	-1.5464476	0.43402845	-0.5645502	-0.12961735	-0.49863756	1.0389003
MB-0133		-1.2902116	0.3365333	-0.71835154	-1.8010336	-0.91584235	-0.3408902	0.7973801		1.2633327
MB-0134	3.3163989	0.0715109	0.6477748	1.2396388	-2.1356592	0.027450642	-0.9280306	0.8147666	-1.3547446	0.04561624
MB-0135	0.96810675	-0.94606364	-1.370239	0.21871838	-19.487873	0.006377518	-0.22731818	-2.043396	-0.8897168	-0.8216548
MB-0136	30.121515	1.038268	1.3138016	0.82259774	3.0622692	0.6909892	-2.0533776	-0.6179719	0.61299044	
MB-0137	-1.0080816	0.059680417	-1.3839327			-1.327982	0.4658416	0.09391539	-0.5526039	-0.60649484
MB-0138	-0.6673802			-1.112877	0.13643023	-0.32323965	-0.1943198	0.4263038	0.37458846	-0.9321724
MB-0139	-1.365108	-1.099936	-0.35694355	0.32042193	-1.1611518		0.6910417	-0.124838576	-0.8569898	0.38698867
MB-0140	1.1827257		0.21963853	-0.06207489	0.1948581	3.17994	-0.6480258		-0.16750711	0.32058224
MB-0141	-0.59723645	0.5312442	3.7950268	0.7668291		1.0272655	-0.10992963	0.044190686	-1.80272	0.48755828
MB-0142	4.0683436	0.78269523	-0.5479189	0.10687367	-1.523185		-1.5928783		1.9250737	-0.42014268
MB-0143	0.92437375		-1.1083236	0.8795326	-0.2713474	-2.462687	-1.0847912	0.25457317	-2.2664046	0.75895894
MB-0144	-2.4417384	-1.097632	-2.054974	-1.0021464	0.57528335	1.6815091	0.20630598	-0.44122413	-0.4892775	-0.1701434
MB-0145	2.089138			0.8641639	-0.19911134	1.0502329	-1.8798053	0.8076548	-1.9830409	0.5296521
MB-0146		0.094295	-0.6591071	-0.2950937	2.8571267	0.032915395	-1.3416303	0.56114244	-0.52189624	-0.19852655
MB-0147	-2.066177	-0.5750197			1.128399	0.94343334	-0.37616393	0.67864525	0.16935003	0.3223684
MB-0148	12.018262	-1.0180466	-0.450457	0.6041397			0.117827095	-1.2377801	0.8304657	-1.5191289
MB-0149	2.9939919		-0.9082105		-0.18001394	0.6257694	0.40249225	-0.96589047		-1.3791481
MB-0150	3.3329575	-0.84265274	-0.7789388	-0.15652297	0.7019205	-0.71330553	0.13540581	-0.52413684	-19.803814	-0.3070494
MB-0151	1.9627056	0.9186679	-1.4363143	0.2116503	1.2312089	2.1859348	0.27339357	-16.294003	2.0689836	0.7937986
MB-0152	3.0215657	0.2491244	-1.5932755				0.8106167	-1.5086219		0.48114952
MB-0153	-1.6309245	0.85161054	4.59783	0.22746633	0.89828205	-0.025084492	-0.086467065	1.0821631	0.9999681	-1.2832702
MB-0154	3.2137203	3.433931	0.37648517	-0.36477172	0.7574876	1.0310153		0.021610007	-0.52081805	1.1351078
MB-0155	3.7856832	-0.34754205	0.63084185	-1.8404019	1.0976076	0.04358097		-0.5804732	-0.8720159	0.71684104
MB-0156	1.2481362	0.17355068	0.7252525	-0.68894404	-9.490148	0.67714715	-0.114391334	0.31360963	0.15494514	-0.27426857
MB-0157	3.3820684	-1.3211169	-2.2270012	-0.17437164	-1.7470288	-2.1881893	0.38078958	0.6783201	-0.21626258	0.2636878
MB-0158	2.175827	0.30580196	-0.57350236	0.14557584	-0.9703301	-1.3550673	0.8848014	2.345269	-0.05457853	-0.9080303
MB-0159	3.2944705	-0.5013786	-1.8761214	-0.48377854		-2.327979	-0.012694945	-1.2899467	2.0858412	1.8710477
MB-0160		1.3292195	-0.99965256	0.526861	2.5025024	0.26910064	1.5676072	0.31705362	-0.59374535	-1.0227472
MB-0161	2.5121293	0.16958016	-0.137476	0.20775388	-1.6205595	-0.106111094	1.094458	-1.5248002	-0.7205832	0.6167738
MB-0162	1.4403753		1.2162085	1.6048757	1.2374241	-0.2336582	0.041948993	0.24925584	-1.1132648	-0.5428281
MB-0163	0.82662594	1.4843929	0.78574216	-0.97827464	-0.9670292	1.4770716	0.37082246	1.7728319	-0.34999776	-1.7382863
MB-0164	-0.6947105	-1.101812			-1.3823187	-0.84098446	0.37138587	0.39201045	0.7274837	-1.5700239
MB-0165	-1.8313508	0.074407935	-2.7579162	0.5716976		-0.44655454	0.79250246	0.4015824	1.0466799	-1.1006569
MB-0166	1.1856619	-0.9100453	-0.6434703	0.81865287	-2.124845	-0.45479295	-0.25988805	-0.37061426	0.7642463	0.3277142
MB-0167	3.045281	0.052392017	0.0050120354	0.53053653		0.7610135	-0.40390214	0.3977431	1.8074665	0.075587116
MB-0168	-0.88560045	0.59727013	2.1080248	-1.2066673	-0.6854182	0.24524122	-0.11306888	-1.7681664	0.9752696	0.34699172
MB-0169	-0.13984036	0.89739025	3.0854225	-2.0468934	0.30659333	-0.76430905	-0.6708186	-0.52628577	-0.70070016	0.86709225
MB-0170	1.8200982	0.3811936	-2.676339		-0.6038491	-0.49856094	-0.637896	-1.3264917	-0.12922549	0.5361578
MB-0171	3.2488852	1.3163862		0.65981776		-0.89926046	0.4124337	-1.7876579	-0.6821869	0.085490584
MB-0172	3.5003989	0.50921965	0.47308034	-0.8102972	0.29760447	0.721118	-0.25987852	-0.08934776		0.5246809
MB-0173	2.782205	-0.0053471145		1.1268097	-1.0606865	-2.435401	1.5137975	-1.5608582	1.32223	0.46459934
MB-0174	-3.7002373	-0.7864701	1.5838625	-1.2749449	0.15323429	1.9586705	0.60818017	-1.4472452	-1.245867	
MB-0175	-0.54408646	0.22030403	-1.9157856	0.8146772	-1.5384458	2.258985	-1.2750214	-1.2529724	-1.2038891	-0.3079787
MB-0176	1.4358325	-1.8558004	0.28486365	0.5323548	-0.14271061	-1.8498049	1.7200502	0.50953627	-0.5180264	
MB-0177	2.444846	0.8502238	1.4254161	2.874987	1.0402535	-0.33308834	0.25779185		1.0426644	-0.322017
MB-0178	2.0681741	3.2449877	-1.67155		0.24288724	0.23212497	-0.30527744	-0.0038051924	2.4119473	-0.11183787
MB-0179	2.738209	0.96688145	-0.23476207	-0.63191825	-0.19787711	0.71298265	1.1243397	-1.2412691	-0.5528373	-0.8008307
MB-0180	-0.0045529604	0.29062337	3.9845967	1.5021443	0.24767755	-1.1902581		0.80983967	-1.3001707	-1.2698679
MB-0181	-1.2098458	-0.09006104	0.4611128	-0.31352735	-1.1029183	2.016312	-0.03622907	0.18743236	0.2954165	-0.10554711
MB-0182	1.237072	-0.88530576	-0.93775165	1.217677	1.0987363	1.153949	0.13930972	0.059565824	-0.13038073	1.6521331
MB-0183	2.407134	-1.0268751	-0.5446082			-0.22625412	-0.8625071	0.48611775	0.018967366	0.40006435
MB-0184	2.7570329	-0.099180885	0.5474479	-0.21618767	0.0049258573	0.5880826	-0.45849553	-0.5061685	2.2145488	0.66410506
MB-0185	-3.1178231	-0.59576213	-0.7133086	-0.5469727	-0.12843698	0.8345622	-1.5547966	1.2735543	-0.9351378	-0.08417751
MB-0186	2.645125	0.4491839	0.5431889	-0.53712535	1.0162969	0.15680341	1.2058191	0.9556714	-0.64215267	1.4261475
MB-0187	-3.6245816	-1.7872599	3.9224102	-1.7908598	1.2146273	-0.40103555		0.55999935	0.048440237	1.7101188
MB-0188	-1.2765443	-1.4390919	-0.9365202	-2.2804465	0.95720667	1.8521216		0.12884024	-1.5043981	-1.400036
MB-0189	2.5093951	-2.029653	-0.9859917	0.03294863	-1.2935954		0.12659529			0.07023741
MB-0190	3.3398156	-3.1935902	-1.6598467		0.74828756	-1.1867756	0.75983095	1.7896112	-0.42441684	1.9800255
MB-0191	3.740646	0.82958066	-1.0930142	-0.9975493			1.5587703	0.9729756	1.5739995	-0.56580096
MB-0192	2.0936742	-0.9260375	-1.4816663	0.5289775	0.00785447		1.02509	-0.17890337	-1.7941307	-1.6829213
MB-0193	-0.84171474	0.8125985	-1.4470506	-0.8141535	1.160375	-0.575009		1.0639328	0.025996992	-0.2221954
MB-0194		1.0694993	0.47180003		-0.22807084	-1.906124	-0.8177411	-2.3140452	0.8656366	-1.0426931
MB-0195	-2.184484	-0.58059543	-1.4406121	0.31653258	-0.63197225	0.9009764	-1.903861	-1.2802547	0.38690946	-0.22565605
MB-0196	-13.273917	1.827733	-0.9959235	0.5596341	-0.04454126	0.8410912	-0.7983709	-0.7549799	0.6606275	0.2689347
MB-0197	-0.15154672	-0.89782196	-0.4296654	1.1734084	0.3911328	-0.5842069	0.36970276	1.0143574		-0.23165889
MB-0198	24.620066	1.3245693	-1.7992959	1.550238	-2.0180507	-2.0846891	0.7746806		0.5444347	0.34132758
MB-0199	2.11846	-0.65307933	-0.50527304	0.15377119	0.5855745	-0.11294794	0.12546833	-0.6150035	-0.20231439	0.099619366
MB-0200	-1.2916466	-1.4783453		-0.39217585	0.132194	0.15387085		1.4271884	1.1042905	0.7846385
MB-0201	-1.7501264	0.93441063	4.2485366	-0.45291844	-0.04822263	0.5657982	-1.397801	-1.9964535	-0.23661394	0.005855755
MB-0202	3.6848867	2.4129612	-8.436433	0.14711513	-1.3073596	0.20739532		-1.051964	0.3952401	0.67666364
MB-0203	-2.012928	-0.53805834	-1.0060234	0.0024649447	0.6507562	0.14114997	-0.019465087	-1.5923029	-0.2592168	0.3480162
MB-0204	-1.6064038	0.6920341	1.1802591	0.54615706	0.10614088	-2.1385472	1.122482	0.05512268	1.0629513	-0.1785913
MB-0205			8.633765	-0.96073633	3.1230247	1.1864315	-0.028491529	0.98587483	-0.64112735	0.30351004
MB-0206	1.3840053	-0.83980346	-0.7227882	-0.73507905	0.39943483	1.1140018	-0.6655884	0.69341254	0.040275432	-0.1287916
MB-0207	-1.4841049	-0.40583718	-0.28910694	-0.23616193	1.0948235	-0.36024556	-0.29104272	-0.48416635	-0.4435943	-0.38245028
MB-0208	-2.4681575	-0.9091079	-0.36154523	-0.24272145	0.6269435	-0.7749974	-0.8253704	0.47305086	1.0924925	-0.2871749
MB-0209	2.275322	-1.5186235	-0.84683424	0.14964615	-1.1028868		0.27040923	0.717669	0.8813567	-0.25931948
MB-0210	-1.610009	-1.2328757	2.007576	1.2351304	-12.391495	0.69686455	-1.4549866	0.32059002	1.4715738	
MB-0211	3.3872943	-1.555404	4.574755	0.38439253	0.78650194	0.49092105	1.9570981	-1.687876	-0.44766212	-0.6928315
MB-0212	4.4124584	6.479349	-0.60975313	-0.2564425	-0.24420743	0.6265925		0.92921484	0.12238118	0.3094933
MB-0213		1.312953	-0.7004974	0.17258176		0.15922123	0.12761897	0.33414057		2.7557337
MB-0214	3.362966	0.9325315	-1.0455511	-0.07592266		2.4492078	2.917542	0.30187654		-0.9459763
MB-0215	3.8295465	-0.5516789	-0.43207958	-2.4177384	-1.3842725	-0.5525282	0.8100339	2.2490227	-1.2993377	-0.39948136
MB-0216	-3.280082	0.6187657	-1.7556505	0.5580462	1.0903618	0.17656732	1.2767621	-0.9233436	0.15817878	-0.59838665
